checkpoint,temperature,top_p,seed,chrf,seconds
5-3e-05-sonnet.pt,2,0.9,2,37.8275,17.3
5-3e-05-sonnet.pt,1,0.5,2,38.7403,17.1
5-1e-05-sonnet.pt,0.9,0.9,2,40.1379,21.9
5-1e-05-sonnet.pt,1,0.9,2,42.0995,19.5
5-1e-05-sonnet.pt,1.1,0.9,2,40.8997,17.4
5-1e-05-sonnet.pt,1.2,0.9,2,41.4239,17.8
5-1e-05-sonnet.pt,1.4,0.9,2,40.7275,17.8
5-1e-05-sonnet.pt,1.1,0.85,2,41.8991,18.4
5-1e-05-sonnet.pt,1.1,0.95,2,40.6653,16.6
5-1e-05-sonnet.pt,1.1,1,2,40.7396,18.0
5-1e-05-sonnet.pt,0.9,0.95,2,41.1628,17.1
5-1e-05-sonnet.pt,1.2,0.85,2,41.5576,18.1
5-1e-05-sonnet.pt,0.6,0.9,2,37.0601,16.6
5-1e-05-sonnet.pt,2,0.9,2,38.6576,19.6
5-1e-05-sonnet.pt,1,0.5,2,38.4316,16.0
5-3e-06-sonnet.pt,0.9,0.9,2,39.5115,17.4
5-3e-06-sonnet.pt,1,0.9,2,37.5393,12.2
5-3e-06-sonnet.pt,1.1,0.9,2,38.7435,14.4
5-3e-06-sonnet.pt,1.2,0.9,2,37.3790,13.0
5-3e-06-sonnet.pt,1.4,0.9,2,38.0062,14.5
5-3e-06-sonnet.pt,1.1,0.85,2,39.7474,15.2
5-3e-06-sonnet.pt,1.1,0.95,2,38.8022,13.8
5-3e-06-sonnet.pt,1.1,1,2,38.6101,15.0
5-3e-06-sonnet.pt,0.9,0.95,2,37.3700,12.2
5-3e-06-sonnet.pt,1.2,0.85,2,38.8198,14.3
5-3e-06-sonnet.pt,0.6,0.9,2,36.3136,17.0
5-3e-06-sonnet.pt,2,0.9,2,37.8239,19.6
5-3e-06-sonnet.pt,1,0.5,2,36.9321,13.5
10-0.001-sonnet.pt,0.9,0.9,2,40.3460,21.1
10-0.001-sonnet.pt,1,0.9,2,40.2373,18.6
10-0.001-sonnet.pt,1.1,0.9,2,41.0815,18.9
10-0.001-sonnet.pt,1.2,0.9,2,41.5833,18.1
10-0.001-sonnet.pt,1.4,0.9,2,41.5321,20.2
10-0.001-sonnet.pt,1.1,0.85,2,41.8330,18.6
10-0.001-sonnet.pt,1.1,0.95,2,40.9314,19.2
10-0.001-sonnet.pt,1.1,1,2,40.5665,19.2
10-0.001-sonnet.pt,0.9,0.95,2,41.0149,19.1
10-0.001-sonnet.pt,1.2,0.85,2,40.9234,18.8
10-0.001-sonnet.pt,0.6,0.9,2,41.2406,19.3
10-0.001-sonnet.pt,2,0.9,2,41.6763,19.2
10-0.001-sonnet.pt,1,0.5,2,40.2595,18.6
10-0.0003-sonnet.pt,0.9,0.9,2,40.8953,20.4
10-0.0003-sonnet.pt,1,0.9,2,40.6091,18.7
10-0.0003-sonnet.pt,1.1,0.9,2,41.1851,18.0
10-0.0003-sonnet.pt,1.2,0.9,2,41.3163,17.6
10-0.0003-sonnet.pt,1.4,0.9,2,41.8758,18.6
10-0.0003-sonnet.pt,1.1,0.85,2,40.7978,17.9
10-0.0003-sonnet.pt,1.1,0.95,2,41.1389,18.0
10-0.0003-sonnet.pt,1.1,1,2,41.8737,17.7
10-0.0003-sonnet.pt,0.9,0.95,2,41.4467,18.3
10-0.0003-sonnet.pt,1.2,0.85,2,41.6296,18.3
10-0.0003-sonnet.pt,0.6,0.9,2,41.4607,18.9
10-0.0003-sonnet.pt,2,0.9,2,40.4644,16.4
10-0.0003-sonnet.pt,1,0.5,2,39.2278,17.9
10-0.0001-sonnet.pt,0.9,0.9,2,40.2352,20.6
10-0.0001-sonnet.pt,1,0.9,2,40.8691,17.9
10-0.0001-sonnet.pt,1.1,0.9,2,41.4115,18.8
10-0.0001-sonnet.pt,1.2,0.9,2,41.5211,18.2
10-0.0001-sonnet.pt,1.4,0.9,2,41.9018,18.5
10-0.0001-sonnet.pt,1.1,0.85,2,41.6854,18.3
10-0.0001-sonnet.pt,1.1,0.95,2,41.5160,18.4
10-0.0001-sonnet.pt,1.1,1,2,41.9942,18.7
10-0.0001-sonnet.pt,0.9,0.95,2,40.7770,18.6
10-0.0001-sonnet.pt,1.2,0.85,2,41.4184,18.8
10-0.0001-sonnet.pt,0.6,0.9,2,39.3751,17.4
10-0.0001-sonnet.pt,2,0.9,2,41.4209,18.8
10-0.0001-sonnet.pt,1,0.5,2,39.9355,18.0
5-0.003-sonnet.pt,0.9,0.9,3,40.1583,19.2
5-0.003-sonnet.pt,1,0.9,3,41.2370,17.5
5-0.003-sonnet.pt,1.1,0.9,3,40.5646,16.8
5-0.003-sonnet.pt,1.2,0.9,3,40.9534,17.6
5-0.003-sonnet.pt,1.4,0.9,3,40.9812,18.1
5-0.003-sonnet.pt,1.1,0.85,3,41.4266,18.2
5-0.003-sonnet.pt,1.1,0.95,3,40.8558,17.3
5-0.003-sonnet.pt,1.1,1,3,41.0477,18.1
5-0.003-sonnet.pt,0.9,0.95,3,40.3845,17.1
5-0.003-sonnet.pt,1.2,0.85,3,41.4034,17.5
5-0.003-sonnet.pt,0.6,0.9,3,40.5955,18.7
5-0.003-sonnet.pt,2,0.9,3,39.0286,19.1
5-0.003-sonnet.pt,1,0.5,3,41.0904,17.8
5-0.001-sonnet.pt,0.9,0.9,3,40.3707,21.0
5-0.001-sonnet.pt,1,0.9,3,40.5010,19.2
5-0.001-sonnet.pt,1.1,0.9,3,40.6110,18.7
5-0.001-sonnet.pt,1.2,0.9,3,41.0397,19.1
5-0.001-sonnet.pt,1.4,0.9,3,40.6220,18.4
5-0.001-sonnet.pt,1.1,0.85,3,41.2123,19.2
5-0.001-sonnet.pt,1.1,0.95,3,41.0142,18.4
5-0.001-sonnet.pt,1.1,1,3,41.3526,19.2
5-0.001-sonnet.pt,0.9,0.95,3,41.0394,19.4
5-0.001-sonnet.pt,1.2,0.85,3,41.2390,19.4
5-0.001-sonnet.pt,0.6,0.9,3,40.0667,18.9
5-0.001-sonnet.pt,2,0.9,3,39.9280,19.7
5-0.001-sonnet.pt,1,0.5,3,39.7455,19.1
5-0.0003-sonnet.pt,0.9,0.9,3,40.9670,22.0
